kind,metric,thing,ts,val
network,event_ids,Parsely,2017-07-04 00:00,154808398
network,event_ids,Parsely,2017-07-06 00:00,172578014
network,event_ids,Parsely,2017-07-07 00:00,168563559
network,event_ids,Parsely,2017-07-08 00:00,143297043
network,event_ids,Parsely,2017-07-09 00:00,140709618
network,event_ids,Parsely,2017-07-10 00:00,64246675
network,events,Parsely,2017-07-03 02:30:00,610689
network,events,Parsely,2017-07-03 10:25:00,320667
network,events,Parsely,2017-07-03 16:50:00,716539
network,events,Parsely,2017-07-03 20:00:00,755743
network,events,Parsely,2017-07-03 02:35:00,605201
network,events,Parsely,2017-07-03 11:20:00,425076
network,events,Parsely,2017-07-03 12:40:00,596929
network,events,Parsely,2017-07-03 00:05:00,556526
network,events,Parsely,2017-07-03 06:20:00,326016
network,events,Parsely,2017-07-03 11:25:00,439476
network,events,Parsely,2017-07-03 06:25:00,317754
network,events,Parsely,2017-07-03 00:00:00,540020
network,events,Parsely,2017-07-03 10:50:00,366844
network,events,Parsely,2017-07-03 03:40:00,483143
network,events,Parsely,2017-07-03 10:55:00,376288
network,events,Parsely,2017-07-03 16:55:00,707774
network,events,Parsely,2017-07-03 04:40:00,450157
network,events,Parsely,2017-07-03 01:35:00,602797
network,events,Parsely,2017-07-03 19:05:00,752123
network,events,Parsely,2017-07-03 01:30:00,596789
network,events,Parsely,2017-07-03 07:10:00,291016
network,events,Parsely,2017-07-03 19:55:00,758952
network,events,Parsely,2017-07-03 07:15:00,287949
network,events,Parsely,2017-07-03 09:05:00,241971
network,events,Parsely,2017-07-03 13:35:00,681521
network,events,Parsely,2017-07-03 09:00:00,238217
network,events,Parsely,2017-07-03 20:05:00,768941
network,events,Parsely,2017-07-03 07:25:00,275927
network,events,Parsely,2017-07-03 19:50:00,775808
network,events,Parsely,2017-07-03 23:45:00,651245
network,events,Parsely,2017-07-03 18:40:00,773794
network,events,Parsely,2017-07-03 18:45:00,776669
network,events,Parsely,2017-07-03 11:30:00,445483
network,events,Parsely,2017-07-03 18:25:00,779920
network,events,Parsely,2017-07-03 15:15:00,757720
network,events,Parsely,2017-07-03 16:30:00,721237
network,events,Parsely,2017-07-03 10:00:00,274711
network,events,Parsely,2017-07-03 00:10:00,570277
network,events,Parsely,2017-07-03 13:05:00,625925
network,events,Parsely,2017-07-03 15:20:00,762635
network,events,Parsely,2017-07-03 00:15:00,563917
network,events,Parsely,2017-07-03 15:25:00,768132
network,events,Parsely,2017-07-03 12:45:00,601510
network,events,Parsely,2017-07-03 02:45:00,595278
network,events,Parsely,2017-07-03 23:30:00,667708
network,events,Parsely,2017-07-03 10:40:00,356675
network,events,Parsely,2017-07-03 22:35:00,702642
network,events,Parsely,2017-07-03 23:35:00,666587
network,events,Parsely,2017-07-03 02:40:00,597989
network,events,Parsely,2017-07-03 10:45:00,357512
network,events,Parsely,2017-07-03 12:35:00,583566
network,events,Parsely,2017-07-03 05:15:00,393139
network,events,Parsely,2017-07-03 01:25:00,592180
network,events,Parsely,2017-07-03 10:20:00,311480
network,events,Parsely,2017-07-03 12:30:00,584323
network,events,Parsely,2017-07-03 01:20:00,587435
network,events,Parsely,2017-07-03 05:10:00,400643
network,events,Parsely,2017-07-03 17:55:00,727924
network,events,Parsely,2017-07-03 14:10:00,705615
network,events,Parsely,2017-07-03 07:00:00,287467
network,events,Parsely,2017-07-03 08:40:00,239632
network,events,Parsely,2017-07-03 14:15:00,711151
network,events,Parsely,2017-07-03 22:30:00,716186
network,events,Parsely,2017-07-03 08:45:00,236327
network,events,Parsely,2017-07-03 07:05:00,289892
network,events,Parsely,2017-07-03 05:20:00,385410
network,events,Parsely,2017-07-03 12:25:00,567746
network,events,Parsely,2017-07-03 16:35:00,721438
network,events,Parsely,2017-07-03 14:20:00,712108
network,events,Parsely,2017-07-03 05:50:00,350813
network,events,Parsely,2017-07-03 13:10:00,632721
network,events,Parsely,2017-07-03 16:25:00,721802
network,events,Parsely,2017-07-03 03:45:00,471281
network,events,Parsely,2017-07-03 00:30:00,568767
network,events,Parsely,2017-07-03 20:25:00,828094
network,events,Parsely,2017-07-03 11:45:00,487695
network,events,Parsely,2017-07-03 19:45:00,771571
network,events,Parsely,2017-07-03 22:45:00,697393
network,events,Parsely,2017-07-03 02:55:00,575578
network,events,Parsely,2017-07-03 03:35:00,490409
network,events,Parsely,2017-07-03 02:50:00,590120
network,events,Parsely,2017-07-03 22:40:00,690556
network,events,Parsely,2017-07-03 05:00:00,412920
network,events,Parsely,2017-07-03 17:35:00,725148
network,events,Parsely,2017-07-03 16:15:00,726742
network,events,Parsely,2017-07-03 01:10:00,572761
network,events,Parsely,2017-07-03 05:05:00,408851
network,events,Parsely,2017-07-03 01:15:00,585085
network,events,Parsely,2017-07-03 16:10:00,725835
network,events,Parsely,2017-07-03 04:25:00,493599
network,events,Parsely,2017-07-03 21:10:00,804435
network,events,Parsely,2017-07-03 14:00:00,690528
network,events,Parsely,2017-07-03 19:20:00,754258
network,events,Parsely,2017-07-03 04:20:00,507003
network,events,Parsely,2017-07-03 14:05:00,692185
network,events,Parsely,2017-07-03 08:55:00,238736
network,events,Parsely,2017-07-03 07:35:00,271351
network,events,Parsely,2017-07-03 00:35:00,571590
network,events,Parsely,2017-07-03 08:50:00,241036
network,events,Parsely,2017-07-03 07:30:00,273378
network,events,Parsely,2017-07-03 06:35:00,306011
network,events,Parsely,2017-07-03 16:45:00,718505
network,events,Parsely,2017-07-03 06:30:00,311689
network,events,Parsely,2017-07-03 23:40:00,653468
network,events,Parsely,2017-07-03 01:05:00,554571
network,events,Parsely,2017-07-03 04:45:00,443534
network,events,Parsely,2017-07-03 01:00:00,569069
network,events,Parsely,2017-07-03 15:05:00,733541
network,events,Parsely,2017-07-03 15:00:00,726426
network,events,Parsely,2017-07-03 22:50:00,689052
network,events,Parsely,2017-07-03 09:55:00,276007
network,events,Parsely,2017-07-03 11:55:00,503780
network,events,Parsely,2017-07-03 22:55:00,681988
network,events,Parsely,2017-07-03 11:50:00,498936
network,events,Parsely,2017-07-03 09:50:00,270824
network,events,Parsely,2017-07-03 05:25:00,380437
network,events,Parsely,2017-07-03 23:15:00,668385
network,events,Parsely,2017-07-03 12:10:00,536978
network,events,Parsely,2017-07-03 19:40:00,756438
network,events,Parsely,2017-07-03 16:05:00,721860
network,events,Parsely,2017-07-03 11:35:00,469063
network,events,Parsely,2017-07-03 23:10:00,672849
network,events,Parsely,2017-07-03 17:25:00,707487
network,events,Parsely,2017-07-03 21:00:00,794653
network,events,Parsely,2017-07-03 04:35:00,467998
network,events,Parsely,2017-07-03 17:20:00,716385
network,events,Parsely,2017-07-03 04:30:00,480850
network,events,Parsely,2017-07-03 05:30:00,374224
network,events,Parsely,2017-07-03 03:15:00,546343
network,events,Parsely,2017-07-03 08:20:00,245577
network,events,Parsely,2017-07-03 14:35:00,737345
network,events,Parsely,2017-07-03 08:25:00,242241
network,events,Parsely,2017-07-03 03:10:00,560636
network,events,Parsely,2017-07-03 14:30:00,735988
network,events,Parsely,2017-07-03 18:15:00,759454
network,events,Parsely,2017-07-03 06:40:00,300065
network,events,Parsely,2017-07-03 17:30:00,711229
network,events,Parsely,2017-07-03 06:45:00,295548
network,events,Parsely,2017-07-03 18:10:00,748680
network,events,Parsely,2017-07-03 17:45:00,726846
network,events,Parsely,2017-07-03 05:35:00,372569
network,events,Parsely,2017-07-03 12:05:00,518086
network,events,Parsely,2017-07-03 12:00:00,503995
network,events,Parsely,2017-07-03 13:55:00,688638
network,events,Parsely,2017-07-03 17:40:00,729707
network,events,Parsely,2017-07-03 16:40:00,721853
network,events,Parsely,2017-07-03 14:25:00,734204
network,events,Parsely,2017-07-03 09:40:00,265477
network,events,Parsely,2017-07-03 16:00:00,720321
network,events,Parsely,2017-07-03 09:45:00,267821
network,events,Parsely,2017-07-03 23:00:00,667541
network,events,Parsely,2017-07-03 13:50:00,687636
network,events,Parsely,2017-07-03 00:40:00,569802
network,events,Parsely,2017-07-03 23:05:00,672945
network,events,Parsely,2017-07-03 00:45:00,572694
network,events,Parsely,2017-07-03 22:25:00,725027
network,events,Parsely,2017-07-03 04:00:00,459552
network,events,Parsely,2017-07-03 22:20:00,720418
network,events,Parsely,2017-07-03 04:05:00,500451
network,events,Parsely,2017-07-03 20:35:00,819271
