kind,metric,thing,ts,val
network,event_ids,Parsely,2017-07-10 00:00,170671207
network,event_ids,Parsely,2017-07-12 00:00,175191010
network,event_ids,Parsely,2017-07-13 00:00,177781061
network,event_ids,Parsely,2017-07-14 00:00,176851373
network,event_ids,Parsely,2017-07-15 00:00,86124945
network,events,Parsely,2017-07-11 02:30:00,642937
network,events,Parsely,2017-07-11 10:25:00,365877
network,events,Parsely,2017-07-11 16:50:00,832256
network,events,Parsely,2017-07-11 20:00:00,901982
network,events,Parsely,2017-07-11 02:35:00,645273
network,events,Parsely,2017-07-11 11:20:00,466688
network,events,Parsely,2017-07-11 12:40:00,628449
network,events,Parsely,2017-07-11 00:05:00,625886
network,events,Parsely,2017-07-11 06:20:00,311703
network,events,Parsely,2017-07-11 11:25:00,480021
network,events,Parsely,2017-07-11 06:25:00,304299
network,events,Parsely,2017-07-11 00:00:00,635298
network,events,Parsely,2017-07-11 10:50:00,409356
network,events,Parsely,2017-07-11 03:40:00,478149
network,events,Parsely,2017-07-11 10:55:00,415519
network,events,Parsely,2017-07-11 16:55:00,830453
network,events,Parsely,2017-07-11 04:40:00,436222
network,events,Parsely,2017-07-11 01:35:00,682147
network,events,Parsely,2017-07-11 19:05:00,823327
network,events,Parsely,2017-07-11 01:30:00,673285
network,events,Parsely,2017-07-11 07:10:00,268769
network,events,Parsely,2017-07-11 19:55:00,857202
network,events,Parsely,2017-07-11 07:15:00,265005
network,events,Parsely,2017-07-11 09:05:00,264965
network,events,Parsely,2017-07-11 13:35:00,720618
network,events,Parsely,2017-07-11 09:00:00,261047
network,events,Parsely,2017-07-11 20:05:00,877680
network,events,Parsely,2017-07-11 07:25:00,260185
network,events,Parsely,2017-07-11 19:50:00,868408
network,events,Parsely,2017-07-11 23:45:00,696354
network,events,Parsely,2017-07-11 18:40:00,816378
network,events,Parsely,2017-07-11 18:45:00,824287
network,events,Parsely,2017-07-11 11:30:00,490213
network,events,Parsely,2017-07-11 18:25:00,807580
network,events,Parsely,2017-07-11 15:15:00,801186
network,events,Parsely,2017-07-11 16:30:00,844860
network,events,Parsely,2017-07-11 10:00:00,312593
network,events,Parsely,2017-07-11 00:10:00,645411
network,events,Parsely,2017-07-11 13:05:00,674653
network,events,Parsely,2017-07-11 15:20:00,803346
network,events,Parsely,2017-07-11 00:15:00,646478
network,events,Parsely,2017-07-11 15:25:00,803779
network,events,Parsely,2017-07-11 12:45:00,637251
network,events,Parsely,2017-07-11 02:45:00,632267
network,events,Parsely,2017-07-11 23:30:00,693039
network,events,Parsely,2017-07-11 10:40:00,391279
network,events,Parsely,2017-07-11 22:35:00,659838
network,events,Parsely,2017-07-11 23:35:00,695509
network,events,Parsely,2017-07-11 02:40:00,636615
network,events,Parsely,2017-07-11 10:45:00,396708
network,events,Parsely,2017-07-11 12:35:00,623533
network,events,Parsely,2017-07-11 05:15:00,381573
network,events,Parsely,2017-07-11 01:25:00,668884
network,events,Parsely,2017-07-11 10:20:00,353523
network,events,Parsely,2017-07-11 12:30:00,612784
network,events,Parsely,2017-07-11 01:20:00,651008
network,events,Parsely,2017-07-11 05:10:00,388416
network,events,Parsely,2017-07-11 17:55:00,806708
network,events,Parsely,2017-07-11 14:10:00,768281
network,events,Parsely,2017-07-11 07:00:00,272962
network,events,Parsely,2017-07-11 08:40:00,258541
network,events,Parsely,2017-07-11 14:15:00,787208
network,events,Parsely,2017-07-11 22:30:00,708279
network,events,Parsely,2017-07-11 08:45:00,261908
network,events,Parsely,2017-07-11 07:05:00,277889
network,events,Parsely,2017-07-11 05:20:00,371927
network,events,Parsely,2017-07-11 12:25:00,599915
network,events,Parsely,2017-07-11 16:35:00,844495
network,events,Parsely,2017-07-11 14:20:00,790383
network,events,Parsely,2017-07-11 05:50:00,330548
network,events,Parsely,2017-07-11 13:10:00,688902
network,events,Parsely,2017-07-11 16:25:00,846194
network,events,Parsely,2017-07-11 03:45:00,472884
network,events,Parsely,2017-07-11 00:30:00,644061
network,events,Parsely,2017-07-11 20:25:00,889589
network,events,Parsely,2017-07-11 11:45:00,525203
network,events,Parsely,2017-07-11 19:45:00,890646
network,events,Parsely,2017-07-11 22:45:00,653810
network,events,Parsely,2017-07-11 02:55:00,591655
network,events,Parsely,2017-07-11 03:35:00,492735
network,events,Parsely,2017-07-11 02:50:00,606246
network,events,Parsely,2017-07-11 22:40:00,653205
network,events,Parsely,2017-07-11 05:00:00,398769
network,events,Parsely,2017-07-11 17:35:00,814927
network,events,Parsely,2017-07-11 16:15:00,850082
network,events,Parsely,2017-07-11 01:10:00,625309
network,events,Parsely,2017-07-11 05:05:00,393542
network,events,Parsely,2017-07-11 01:15:00,657718
network,events,Parsely,2017-07-11 16:10:00,848289
network,events,Parsely,2017-07-11 04:25:00,474987
network,events,Parsely,2017-07-11 21:10:00,832567
network,events,Parsely,2017-07-11 14:00:00,725311
