kind,metric,thing,ts,val
network,events,Parsely,2017-07-08 11:35:00,400316
network,events,Parsely,2017-07-08 23:10:00,553508
network,events,Parsely,2017-07-08 17:25:00,596028
network,events,Parsely,2017-07-08 21:00:00,597742
network,events,Parsely,2017-07-08 04:35:00,469412
network,events,Parsely,2017-07-08 17:20:00,588273
network,events,Parsely,2017-07-08 04:30:00,479441
network,events,Parsely,2017-07-08 05:30:00,362857
network,events,Parsely,2017-07-08 03:15:00,531711
network,events,Parsely,2017-07-08 08:20:00,235300
network,events,Parsely,2017-07-08 14:35:00,640028
network,events,Parsely,2017-07-08 08:25:00,235609
network,events,Parsely,2017-07-08 03:10:00,541430
network,events,Parsely,2017-07-08 14:30:00,628209
network,events,Parsely,2017-07-08 18:15:00,583730
network,events,Parsely,2017-07-08 06:40:00,279933
network,events,Parsely,2017-07-08 17:30:00,602668
network,events,Parsely,2017-07-08 06:45:00,293340
network,events,Parsely,2017-07-08 18:10:00,587725
network,events,Parsely,2017-07-08 17:45:00,587991
network,events,Parsely,2017-07-08 05:35:00,356072
network,events,Parsely,2017-07-08 21:35:00,604551
network,events,Parsely,2017-07-08 12:05:00,452102
network,events,Parsely,2017-07-08 12:00:00,440981
network,events,Parsely,2017-07-08 13:55:00,612504
network,events,Parsely,2017-07-08 17:40:00,599202
network,events,Parsely,2017-07-08 16:40:00,610966
network,events,Parsely,2017-07-08 14:25:00,635185
network,events,Parsely,2017-07-08 09:40:00,231103
network,events,Parsely,2017-07-08 16:00:00,601128
network,events,Parsely,2017-07-08 09:45:00,241210
network,events,Parsely,2017-07-08 23:00:00,554856
network,events,Parsely,2017-07-08 13:50:00,614134
network,events,Parsely,2017-07-08 00:40:00,606886
network,events,Parsely,2017-07-08 23:05:00,553995
network,events,Parsely,2017-07-08 00:45:00,613395
network,events,Parsely,2017-07-08 22:25:00,598911
network,events,Parsely,2017-07-08 04:00:00,472627
network,events,Parsely,2017-07-08 22:20:00,597707
network,events,Parsely,2017-07-08 04:05:00,503308
network,events,Parsely,2017-07-08 20:35:00,610869
network,events,Parsely,2017-07-08 10:15:00,269447
network,events,Parsely,2017-07-08 08:30:00,230554
network,events,Parsely,2017-07-08 03:05:00,544034
network,events,Parsely,2017-07-08 10:10:00,257127
network,events,Parsely,2017-07-08 03:00:00,557003
network,events,Parsely,2017-07-08 08:35:00,226707
network,events,Parsely,2017-07-08 15:40:00,615109
network,events,Parsely,2017-07-08 06:50:00,283488
network,events,Parsely,2017-07-08 18:05:00,584290
network,events,Parsely,2017-07-08 15:45:00,614032
network,events,Parsely,2017-07-08 12:15:00,472910
network,events,Parsely,2017-07-08 18:00:00,576029
network,events,Parsely,2017-07-08 06:55:00,282829
network,events,Parsely,2017-07-08 07:55:00,240415
network,events,Parsely,2017-07-08 20:30:00,605212
network,events,Parsely,2017-07-08 07:50:00,242699
network,events,Parsely,2017-07-08 00:55:00,608536
network,events,Parsely,2017-07-08 19:10:00,578560
network,events,Parsely,2017-07-08 20:20:00,592139
network,events,Parsely,2017-07-08 00:50:00,613531
network,events,Parsely,2017-07-08 19:15:00,582695
network,events,Parsely,2017-07-08 13:15:00,566868
network,events,Parsely,2017-07-08 08:05:00,238029
network,events,Parsely,2017-07-08 08:00:00,235039
network,events,Parsely,2017-07-08 02:00:00,616369
network,events,Parsely,2017-07-08 13:40:00,605429
network,events,Parsely,2017-07-08 02:05:00,635737
network,events,Parsely,2017-07-08 13:45:00,614238
network,events,Parsely,2017-07-08 23:20:00,557701
network,events,Parsely,2017-07-08 09:35:00,233393
network,events,Parsely,2017-07-08 17:50:00,581972
network,events,Parsely,2017-07-08 17:00:00,584388
network,events,Parsely,2017-07-08 19:30:00,585528
network,events,Parsely,2017-07-08 09:30:00,229094
network,events,Parsely,2017-07-08 17:05:00,590917
network,events,Parsely,2017-07-08 05:45:00,344239
network,events,Parsely,2017-07-08 21:20:00,614930
network,events,Parsely,2017-07-08 04:15:00,513925
network,events,Parsely,2017-07-08 03:30:00,500457
network,events,Parsely,2017-07-08 04:10:00,516494
network,events,Parsely,2017-07-08 21:25:00,615228
network,events,Parsely,2017-07-08 05:55:00,318192
network,events,Parsely,2017-07-08 07:20:00,257399
network,events,Parsely,2017-07-08 15:50:00,615261
network,events,Parsely,2017-07-08 18:30:00,578747
network,events,Parsely,2017-07-08 20:45:00,604041
network,events,Parsely,2017-07-08 19:25:00,585726
network,events,Parsely,2017-07-08 18:35:00,596298
network,events,Parsely,2017-07-08 15:55:00,609166
network,events,Parsely,2017-07-08 14:55:00,637458
network,events,Parsely,2017-07-08 05:40:00,352201
network,events,Parsely,2017-07-08 07:45:00,243241
network,events,Parsely,2017-07-08 14:50:00,634202
network,events,Parsely,2017-07-08 07:40:00,252751
network,events,Parsely,2017-07-08 11:40:00,410191
network,events,Parsely,2017-07-08 00:20:00,607283
network,events,Parsely,2017-07-08 23:50:00,549870
network,events,Parsely,2017-07-08 00:25:00,604423
network,events,Parsely,2017-07-08 06:05:00,320697
network,events,Parsely,2017-07-08 01:55:00,628562
network,events,Parsely,2017-07-08 23:25:00,551528
network,events,Parsely,2017-07-08 06:00:00,338661
network,events,Parsely,2017-07-08 01:50:00,642373
network,events,Parsely,2017-07-08 08:10:00,235165
network,events,Parsely,2017-07-08 03:25:00,514644
network,events,Parsely,2017-07-08 03:20:00,525410
network,events,Parsely,2017-07-08 08:15:00,235944
network,events,Parsely,2017-07-08 11:00:00,326881
network,events,Parsely,2017-07-08 02:10:00,643626
network,events,Parsely,2017-07-08 21:30:00,612188
network,events,Parsely,2017-07-08 11:05:00,343382
network,events,Parsely,2017-07-08 02:15:00,646544
network,events,Parsely,2017-07-08 09:25:00,226623
network,events,Parsely,2017-07-08 09:20:00,223980
network,events,Parsely,2017-07-08 15:35:00,621492
network,events,Parsely,2017-07-08 17:15:00,594464
network,events,Parsely,2017-07-08 10:30:00,281850
network,events,Parsely,2017-07-08 17:10:00,590951
network,events,Parsely,2017-07-08 10:35:00,287735
network,events,Parsely,2017-07-08 20:50:00,611433
network,events,Parsely,2017-07-08 20:40:00,602639
network,events,Parsely,2017-07-08 12:20:00,483369
network,events,Parsely,2017-07-08 20:55:00,601783
network,events,Parsely,2017-07-08 21:55:00,602374
network,events,Parsely,2017-07-08 15:30:00,627832
